Phone,camera,battery,performance,price,storage,weight,sound,durability,display,user interface
Xiaomi 13 Ultra,"[32.875, 331.0]","[3.875, 30.0]","[0.875, 31.0]","[9.5, 49.0]","[-4.625, 10.0]","[-1.5, 16.0]","[3.75, 18.0]","[-0.625, 5.0]","[11.0, 75.0]","[-1.375, 11.0]"
Vivo X80 Pro,"[57.875, 274.0]","[11.375, 41.0]","[5.25, 18.0]","[4.375, 27.0]","[2.0, 9.0]","[0.5, 5.0]","[5.625, 13.0]","[2.75, 11.0]","[4.875, 44.0]","[0.875, 13.0]"
Samsung S22,"[230.166, 1160.0]","[55.478, 848.0]","[64.75, 324.0]","[67.25, 266.0]","[30.0, 138.0]","[1.875, 105.0]","[35.103, 217.0]","[18.625, 84.0]","[107.5, 1240.0]","[29.75, 147.0]"
Samsung Galaxy A14,"[284.01300000000003, 864.0]","[106.75, 344.0]","[63.0, 264.0]","[221.875, 827.0]","[27.0, 134.0]","[9.125, 38.0]","[19.75, 68.0]","[33.125, 124.0]","[59.375, 309.0]","[9.375, 74.0]"
Samsung A73,"[21.5, 85.0]","[23.0, 92.0]","[21.125, 48.0]","[24.375, 68.0]","[6.875, 12.0]","[1.375, 8.0]","[2.0, 7.0]","[5.375, 14.0]","[14.125, 52.0]","[-0.625, 6.0]"
Redmi Note 12,"[4.0, 87.0]","[0.625, 13.0]","[8.25, 67.0]","[18.5, 37.0]","[3.375, 13.0]","[4.5, 7.0]","[0.875, 7.0]","[3.125, 2.0]","[10.125, 38.0]","[-0.875, 5.0]"
Realme 10,"[3.125, 122.0]","[1.125, 13.0]","[11.875, 33.0]","[3.25, 44.0]","[1.125, 2.0]","[0.75, 4.0]","[2.875, 7.0]","[0.75, 3.0]","[7.875, 53.0]","[1.875, 4.0]"
Poco M4 Pro,"[15.0, 49.0]","[1.5, 13.0]","[12.75, 38.0]","[8.5, 31.0]","[2.0, 4.0]","[-0.125, 1.0]","[4.5, 22.0]","[0.0, 3.0]","[7.375, 25.0]","[0.125, 8.0]"
OnePlus Nord 2T,"[1.375, 43.0]","[6.75, 30.0]","[6.625, 28.0]","[8.75, 38.0]","[-0.75, 7.0]","[1.5, 6.0]","[1.75, 2.0]","[-0.375, 3.0]","[9.0, 30.0]","[0.75, 4.0]"
Motorola G Play,"[213.694, 813.0]","[184.375, 783.0]","[144.478, 640.0]","[439.603, 1361.0]","[53.625, 219.0]","[7.875, 71.0]","[24.041, 83.0]","[40.375, 169.0]","[226.944, 889.0]","[22.25, 53.0]"
Motorola Edge 30,"[8.25, 42.0]","[8.75, 28.0]","[15.0, 16.0]","[-0.75, 40.0]","[7.75, 12.0]","[1.5, 20.0]","[4.75, 8.0]","[-3.75, 34.0]","[8.5, 48.0]","[1.25, 12.0]"
Iphone SE 3,"[230.375, 894.0]","[169.25, 1028.0]","[191.625, 614.0]","[233.5, 1089.0]","[13.0, 110.0]","[3.0, 82.0]","[11.75, 54.0]","[28.75, 114.0]","[184.5, 1182.0]","[-1.25, 22.0]"
Iphone 14,"[151.388, 669.0]","[62.375, 275.0]","[33.875, 284.0]","[119.069, 549.0]","[1.625, 74.0]","[-0.375, 53.0]","[33.5, 97.0]","[16.75, 117.0]","[41.0, 454.0]","[1.0, 30.0]"
Infinix Note 30,"[9.5, 47.0]","[13.125, 33.0]","[5.375, 16.0]","[4.875, 30.0]","[0.0, 4.0]","[-2.625, 5.0]","[0.375, 4.0]","[-0.375, 4.0]","[2.375, 14.0]","[-0.5, 1.0]"
Google Pixel 7,"[315.603, 846.0]","[18.0, 71.0]","[14.75, 43.0]","[34.875, 78.0]","[7.125, 12.0]","[3.75, 20.0]","[5.25, 22.0]","[8.5, 15.0]","[254.228, 774.0]","[8.0, 13.0]"
